ano,turno,id_municipio,sigla_partido,id_candidato_bd,resultado,QTD_CANDIDATOS_MUN,FL_SITUACAO,FL_OPOSICAO,PORC_VOTOS,QTD_CANDIDATOS_MUN_1,SOMA_OPOSICAO,SOMA_SITUACAO
2020,1,2303907,MDB,647064,nao eleito,2,1,0,0.0086273006,2,1,1
2020,1,4207601,PT,159956,nao eleito,2,0,1,0.4718768502,2,1,1
2020,1,4207601,PL,1280749,eleito,2,1,0,0.5281231498,2,1,1
2020,1,4304622,PDT,1693075,eleito,2,0,1,0.7460762332,2,1,1
2020,1,4304622,PTB,528589,nao eleito,2,1,0,0.2539237668,2,1,1
2020,1,2933174,PT,807867,nao eleito,2,0,1,0.371928303,2,1,1
2020,1,2933174,PSC,482111,eleito,2,1,0,0.628071697,2,1,1
2020,1,3141207,PDT,579681,eleito,2,0,1,0.6113744076,2,1,1
2020,1,3141207,PSDB,1119866,nao eleito,2,1,0,0.3886255924,2,1,1
2020,1,4311304,PP,723903,eleito,2,1,0,0.7344825282,2,1,1
2020,1,4311304,PDT,921588,nao eleito,2,0,1,0.2655174718,2,1,1
2020,1,2202851,PSB,859442,eleito,2,0,1,0.5507072644,2,1,1
2020,1,2202851,PSD,1704786,nao eleito,2,1,0,0.4492927356,2,1,1
2020,1,2313757,PDT,263060,nao eleito,2,0,1,0.4691235881,2,1,1
2020,1,2313757,PSD,381565,eleito,2,1,0,0.5308764119,2,1,1
2020,1,2405207,PL,629388,nao eleito,2,1,0,0.4393605292,2,1,1
2020,1,2405207,PSOL,1774511,eleito,2,0,1,0.5606394708,2,1,1
2020,1,2904803,PSB,278035,nao eleito,2,0,1,0.4361384024,2,1,1
2020,1,2904803,PSD,328417,eleito,2,1,0,0.5638615976,2,1,1
2020,1,2910305,PT,752247,nao eleito,2,0,1,0.479752917,2,1,1
2020,1,2910305,PSD,677060,eleito,2,1,0,0.520247083,2,1,1
2020,1,4202131,PDT,837877,nao eleito,2,0,1,0.4710442316,2,1,1
2020,1,4202131,PSL,849073,eleito,2,1,0,0.5289557684,2,1,1
2020,1,4212239,PT,375935,nao eleito,2,0,1,0.4369938452,2,1,1
2020,1,4212239,MDB,600143,eleito,2,1,0,0.5630061548,2,1,1
2020,1,5107008,PDT,324836,eleito,2,0,1,0.6425743579,2,1,1
2020,1,5107008,MDB,466633,nao eleito,2,1,0,0.3574256421,2,1,1
2020,1,2200251,PP,1241182,nao eleito,2,1,0,0.497984258,2,1,1
2020,1,2200251,PT,75858,eleito,2,0,1,0.502015742,2,1,1
2020,1,2205516,REDE,188253,nao eleito,2,0,1,0.0601786554,2,1,1
2020,1,2205516,PSD,1293685,nao eleito,2,1,0,0.9398213446,2,1,1
2020,1,2911006,PSB,1245269,eleito,2,0,1,0.785028155,2,1,1
2020,1,2911006,PSD,1781346,nao eleito,2,1,0,0.214971845,2,1,1
2020,1,2913408,PT,608684,eleito,2,0,1,0.5150231504,2,1,1
2020,1,2913408,PSD,1365376,nao eleito,2,1,0,0.4849768496,2,1,1
2020,1,4302584,PP,226148,nao eleito,2,1,0,0.454798331,2,1,1
2020,1,4302584,PDT,258381,eleito,2,0,1,0.545201669,2,1,1
2020,1,4304697,PDT,182511,nao eleito,2,0,1,0.3828306265,2,1,1
2020,1,4304697,PSDB,467962,eleito,2,1,0,0.6171693735,2,1,1
2020,1,4305447,MDB,535150,nao eleito,2,1,0,0.391031134,2,1,1
2020,1,4305447,PSB,1106751,eleito,2,0,1,0.608968866,2,1,1
2020,1,4313037,PP,549433,nao eleito,2,1,0,0.1983590734,2,1,1
2020,1,4313037,PDT,1096865,eleito,2,0,1,0.8016409266,2,1,1
2020,1,5206701,PDT,746480,eleito,2,0,1,0.5222222222,2,1,1
2020,1,5206701,DEM,708996,nao eleito,2,1,0,0.4777777778,2,1,1
2020,1,2102101,REPUBLICANOS,855952,nao eleito,2,1,0,0.3989966377,2,1,1
2020,1,2102101,PDT,1490482,eleito,2,0,1,0.6010033623,2,1,1
2020,1,2301901,PDT,509527,eleito,2,0,1,0.5387114239,2,1,1
2020,1,2301901,PSDB,783727,nao eleito,2,1,0,0.4612885761,2,1,1
